Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16347.4112,NA,10.23400000000000,13.88890000000000,1.12620000000000,3.06300000000000,14.6957,16338.3800,10.1574,9.0312,1.1262,2.2421,9.8521,3.4324,6.4197,-3.9668,16338.3800,NA,24.7557,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16358.1327,NA,10.72150000000000,6.94770000000000,0.78050000000000,2.86980000000000,10.9219,16348.5374,10.3758,9.5953,0.7805,1.9368,10.5283,3.2193,7.3090,3.2097,16348.5374,NA,21.6937,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16384.3660,NA,26.23330000000000,27.79160000000000,0.80180000000000,3.72300000000000,12.4802,16358.9132,26.2546,25.4528,0.8018,15.2729,13.9029,3.4012,10.5017,-17.4158,16358.9132,NA,25.5094,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16405.8168,NA,21.45080000000000,20.86250000000000,0.83440000000000,2.98920000000000,11.8919,16385.1678,21.4834,20.6490,0.8344,11.0075,12.6307,3.4186,9.2121,5.3921,16385.1678,NA,23.3709,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16423.7746,NA,17.95780000000000,20.83470000000000,0.95410000000000,2.50710000000000,14.7688,16406.6512,18.0775,17.1234,0.9541,5.0570,14.5735,3.4914,11.0821,0.6487,16406.6512,NA,29.1958,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16542.0689,NA,118.29430000000001,118.12420000000000,0.73960000000000,2.78560000000000,14.5987,16424.7287,118.0798,117.3402,0.7396,96.9584,23.1674,3.3876,19.7798,-100.0467,16424.7287,NA,36.3338,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16581.8870,NA,39.81810000000000,34.74100000000000,0.97070000000000,2.86760000000000,9.5216,16542.8085,40.0492,39.0785,0.9707,28.7600,13.1861,3.3803,9.8058,83.3388,16542.8085,NA,22.0454,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16592.4267,NA,10.53970000000000,13.90450000000000,0.60750000000000,2.69280000000000,12.8864,16582.8577,10.1765,9.5690,0.6075,8.9483,3.3135,3.1704,0.1431,26.1447,16582.8577,NA,24.9737,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16601.5080,NA,9.08130000000000,6.94510000000000,0.90180000000000,2.34100000000000,10.7502,16593.0342,9.3756,8.4738,0.9018,6.8876,3.9272,3.3327,0.5945,3.2314,16593.0342,NA,19.9171,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16623.1690,NA,21.66100000000000,27.80270000000000,0.43230000000000,2.96510000000000,16.8919,16602.4098,21.1915,20.7592,0.4323,9.7450,13.9793,3.3863,10.5930,-18.4271,16602.4098,NA,31.7108,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16631.5928,NA,8.42380000000000,6.94290000000000,0.98670000000000,2.94560000000000,15.4110,16623.6013,8.9782,7.9915,0.9867,7.4439,3.4932,3.1612,0.3320,14.2486,16623.6013,NA,20.6421,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16640.1680,NA,8.57520000000000,6.95210000000000,0.41220000000000,2.82010000000000,13.7879,16632.5795,8.0007,7.5885,0.4122,7.0384,3.3702,3.2291,0.1411,2.0261,16632.5795,NA,16.5408,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16647.1917,NA,7.02370000000000,6.94480000000000,0.41410000000000,3.06200000000000,13.7090,16640.5802,7.0256,6.6115,0.4141,6.3557,3.3178,3.1621,0.1557,1.0559,16640.5802,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16655.1261,NA,7.93440000000000,6.94830000000000,0.40820000000000,3.42530000000000,12.7229,16647.6058,7.9285,7.5203,0.4082,5.3697,5.5759,3.3069,2.2690,0.0773,16647.6058,NA,22.4965,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16669.9986,NA,14.87250000000000,13.90620000000000,0.40220000000000,2.92570000000000,11.7566,16655.5343,14.8665,14.4643,0.4022,13.9238,3.4662,3.2620,0.2042,-5.9777,16655.5343,NA,25.4011,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16688.6936,NA,18.69500000000000,20.85820000000000,0.41650000000000,3.07560000000000,13.9198,16670.4008,18.7093,18.2928,0.4165,17.8371,3.5313,3.3293,0.2020,-5.9917,16670.4008,NA,32.2260,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16694.6603,NA,5.96670000000000,6.93260000000000,0.88350000000000,3.25390000000000,14.8857,16689.1101,6.4337,5.5502,0.8835,5.2851,3.5190,3.3663,0.1527,11.7767,16689.1101,NA,NA,NA
